Nama Produk,Kategori,Tipe,Harga,HPP,Stok,Track Stock,Harga Grosir,Minimal Grosir,Deskripsi
Kertas HVS A4 75gsm Sinar Dunia,ATK,product,55000,48000,50,ya,53000,5,1 Rim Kertas HVS A4
Buku Tulis Sinar Dunia 38 Lembar,ATK,product,4500,3200,200,ya,4000,10,Buku tulis standar anak sekolah
Pulpen Faster C600 Hitam,ATK,product,3500,2000,150,ya,3000,12,Pulpen tinta hitam anti macet
Lakban Bening Daimaru 2 inch,ATK,product,12000,9000,80,ya,10500,6,Lakban bening kualitas tinggi
Cetak Banner Flexi 280g / Meter,Percetakan,service,25000,15000,0,tidak,20000,10,Cetak spanduk outdoor per meter persegi
Print A4 Warna Standard,Percetakan,service,2000,500,0,tidak,1500,50,Print warna dokumen standar A4
Print A4 Hitam Putih,Percetakan,service,500,150,0,tidak,400,100,Print hitam putih dokumen standar A4
Cetak Kartu Nama Art Carton 260g (1 Box),Percetakan,service,35000,18000,0,tidak,30000,5,Cetak kartu nama 1 box isi 100 lembar
Laminating A4,Percetakan,service,5000,2000,0,tidak,,,Laminating dokumen seukuran A4
Jilid Spiral Kawat,Percetakan,service,15000,8000,0,tidak,12000,10,Jilid buku dengan spiral kawat
